f1_weighted, 0.9543362869179817
f1_macro, 0.9172995574889621
mcc, 0.88693004564223
mcc_std, 0.00637549316316283
token_acc, 0.9540947914922123
seq_acc, 0.8446658851113716
seq_acc_std, 0.00632438293312306
seq_acc_only_sps, 0.759581881533101
seq_acc_only_sps_std, 0.017362428455349504
avg_loss, 5.668685774797591
precision, 0.9548077201366819
recall, 0.9540947914922123
position_specific_mcc, [0.8742458552804546, 0.8728510893284414, 0.8701047659293757, 0.8687672356663211, 0.8712853196051258, 0.8767456264630856, 0.8743455893724756, 0.8755381643670895, 0.880867973568611, 0.8830189164370327, 0.8834465884196938, 0.8859319146344206, 0.8899679633136317, 0.8942419115140787, 0.8957713545109116, 0.8973783139250354, 0.897002912849772, 0.897920025262085, 0.8973696917493365, 0.8942354393581938, 0.8968102164215106, 0.8988506595818035, 0.8950740898765455, 0.8977602421265796, 0.9001492772735448, 0.8966646156160223, 0.9015554827400105, 0.8955539928779047, 0.8921929326305376, 0.8934410927324222, 0.8872012146389735, 0.8807076069627481, 0.8777458344131583, 0.8783654472274024, 0.876005331362408, 0.8841652077734294, 0.8840389005827809, 0.8764543735080467, 0.8815714227915498, 0.8830711504525244, 0.882237205957615, 0.8876072236876885, 0.8836421179937397, 0.881467798692935, 0.8860399989379675, 0.8830697654948373, 0.8872839173720392, 0.8911549556904946, 0.8900692186001586, 0.8868796329890756, 0.8889378078540299, 0.8883374569541006, 0.8875716281225369, 0.8839167853576, 0.8835556877143339, 0.8842837138028797, 0.8881579540248636, 0.8849897163884833, 0.8764674393005701, 0.8750216275005519, 0.8827013951068684, 0.8810872031520822, 0.8835771926009465, 0.8768986954449075, 0.8832264928474972, 0.8826723780444056, 0.8818024123698502, 0.8728092636185499, 0.8721647513762846, 0.8658452065562965]
